"Latest: Time (s)","Latest: Radiation (Counts)"
1,33
2,38
3,39
4,33
5,29
6,42
7,38
8,42
9,36
10,34
11,29
12,35
13,42
14,42
15,38
16,43
17,35
18,33
19,41
20,27
21,39
22,37
23,38
24,38
25,33
26,39
27,37
28,43
29,36
30,33
31,35
32,36
33,36
34,37
35,37
36,35
37,48
38,42
39,39
40,31
41,39
42,30
43,44
44,40
45,48
46,40
47,31
48,47
49,42
50,45
51,38
52,40
53,29
54,39
55,27
56,38
57,32
58,40
59,31
60,46
61,32
62,46
63,42
64,46
65,39
66,32
67,46
68,36
69,41
70,48
71,49
72,40
73,41
74,43
75,32
76,34
77,37
78,45
79,30
80,38
81,37
82,40
83,35
84,29
85,41
86,45
87,35
88,28
89,30
90,31
91,36
92,37
93,45
94,41
95,46
96,38
97,42
98,31
99,36
100,36
101,31
102,44
103,40
104,37
105,30
106,35
107,32
108,30
109,34
110,44
111,48
112,40
113,39
114,42
115,38
116,45
117,40
118,28
119,53
120,46
121,44
122,31
123,38
124,42
125,41
126,40
127,39
128,53
129,40
130,45
131,38
132,35
133,46
134,50
135,35
136,44
137,51
138,36
139,60
140,39
141,33
142,44
143,26
144,39
145,38
146,40
147,42
148,25
149,32
150,30
151,40
152,45
153,47
154,26
155,40
156,42
157,34
158,39
159,34
160,32
161,36
162,38
163,28
164,31
165,42
166,40
167,42
168,38
169,43
170,41
171,32
172,37
173,34
174,32
175,47
176,42
177,48
178,36
179,43
180,31
181,36
182,39
183,31
184,46
185,32
186,28
187,35
188,34
189,30
190,28
191,44
192,43
193,37
194,33
195,35
196,36
197,45
198,47
199,44
200,42
201,40
202,40
203,35
204,38
205,39
206,35
207,29
208,29
209,36
210,38
211,58
212,33
213,33
214,43
215,48
216,34
217,37
218,41
219,42
220,38
221,38
222,40
223,37
224,37
225,33
226,35
227,53
228,25
229,34
230,44
231,28
232,35
233,36
234,39
235,33
236,42
237,34
238,28
239,27
240,50
241,39
242,38
243,40
244,50
245,40
246,28
247,44
248,44
249,24
250,40
251,36
252,45
253,42
254,40
255,30
256,33
257,26
258,31
259,31
260,42
261,37
262,44
263,38
264,31
265,41
266,41
267,38
268,40
269,43
270,28
271,44
272,28
273,22
274,35
275,33
276,53
277,31
278,46
279,30
280,39
281,39
282,32
283,38
284,39
285,37
286,39
287,34
288,39
289,38
290,44
291,45
292,31
293,38
294,36
295,47
296,36
297,33
298,25
299,35
300,30
301,40
302,39
303,35
304,43
305,30
306,32
307,42
308,29
309,45
310,42
311,32
312,34
313,30
314,40
315,32
316,42
317,41
318,31
319,33
320,34
321,39
322,31
323,46
324,37
325,36
326,38
327,32
328,32
329,37
330,41
331,31
332,44
333,45
334,35
335,42
336,29
337,34
338,29
339,42
340,43
341,35
342,32
343,29
344,45
345,33
346,39
347,42
348,38
349,52
350,38
351,39
352,33
353,42
354,46
355,38
356,39
357,39
358,36
359,34
360,34
361,32
362,37
363,34
364,34
365,38
366,34
367,37
368,38
369,45
370,38
371,28
372,42
373,35
374,49
375,33
376,31
377,46
378,49
379,33
380,41
381,41
382,34
383,30
384,38
385,41
386,33
387,30
388,26
389,39
390,30
391,36
392,31
393,46
394,36
395,38
396,28
397,40
398,45
399,42
400,40
401,35
402,39
403,38
404,28
405,39
406,48
407,40
408,37
409,37
410,36
411,43
412,39
413,45
414,34
415,38
416,40
417,41
418,33
419,42
420,40
421,43
422,54
423,35
424,32
425,47
426,29
427,34
428,42
429,34
430,50
431,37
432,40
433,33
434,36
435,32
436,50
437,46
438,48
439,32
440,44
441,35
442,41
443,36
444,39
445,38
446,34
447,37
448,44
449,37
450,22
451,32
452,42
453,44
454,35
455,35
456,48
457,35
458,41
459,46
460,38
461,44
462,26
463,38
464,32
465,33
466,33
467,38
468,48
469,40
470,28
471,49
472,38
473,43
474,32
475,36
476,43
477,35
478,33
479,43
480,40
481,36
482,35
483,42
484,25
485,27
486,30
487,37
488,35
489,35
490,39
491,32
492,31
493,38
494,41
495,42
496,34
497,27
498,39
499,33
500,44
501,40
502,48
503,39
504,29
505,33
506,40
507,40
508,30
509,51
510,27
511,44
512,47
513,43
514,40
515,33
516,37
517,42
518,35
519,37
520,46
521,35
522,31
523,25
524,35
525,36
526,39
527,33
528,43
529,37
530,30
531,45
532,39
533,39
534,41
535,31
536,44
537,36
538,44
539,39
540,39
541,42
542,48
543,40
544,33
545,40
546,30
547,29
548,37
549,41
550,39
551,35
552,31
553,39
554,37
555,37
556,42
557,35
558,37
559,55
560,28
561,21
562,34
563,36
564,37
565,42
566,40
567,43
568,43
569,40
570,35
571,27
572,46
573,38
574,36
575,43
576,48
577,30
578,50
579,43
580,44
581,39
582,37
583,32
584,40
585,42
586,36
587,38
588,37
589,36
590,40
591,35
592,39
593,42
594,31
595,37
596,38
597,36
598,47
599,38
600,36
