"Latest: Time (s)","Latest: Radiation (Counts)"
5,189
10,185
15,177
20,183
25,175
30,203
35,193
40,193
45,203
50,198
55,205
60,187
65,191
70,184
75,198
80,188
85,211
90,188
95,179
100,211
105,196
110,194
115,183
120,191
125,193
130,178
135,183
140,204
145,175
150,163
155,190
160,186
165,173
170,211
175,214
180,179
185,201
190,207
195,185
200,161
205,203
210,196
215,187
220,187
225,162
230,193
235,170
240,179
245,182
250,193
255,194
260,201
265,184
270,230
275,186
280,183
285,166
290,191
295,172
300,202
305,208
310,168
315,193
320,196
325,178
330,186
335,173
340,200
345,203
350,225
355,203
360,190
365,220
370,198
375,180
380,191
385,173
390,199
395,201
400,171
405,177
410,188
415,185
420,170
425,184
430,168
435,182
440,182
445,214
450,190
455,191
460,185
465,187
470,191
475,170
480,191
485,175
490,217
495,193
500,181
505,191
510,171
515,191
520,196
525,192
530,186
535,182
540,197
545,230
550,228
555,201
560,203
565,169
570,177
575,180
580,180
585,205
590,188
595,180
600,195
